Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),50,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.710277376051325e-17,1.0,0.0,odor_n,odor_f,gill-size_n,21040,0,0,19580,
Logistic Regression (All),50,0.9995076012336477,0.000738502407872203,0.9994883593069364,0.0007676147190337501,1.0,0.0,0.998978417453938,0.0015322233450027858,0.9999963562828829,2.2170932495714783e-05,0.9990153837994711,0.001476345202500571,odor_n,odor_l,odor_a,21040,0,20,19560,
SVM (All),50,0.9991382945849163,0.0009613261775419906,0.9991041703060524,0.0009999426016452317,1.0,0.0,0.9982119369486925,0.0019946522984243737,1.0,0.0,0.998277418397962,0.0019206776674559496,population_v,ring-type_p,stalk-root_b,21040,0,35,19545,
K-Neighbors (All),50,0.9990152933549041,0.001100922317331845,0.998976259732411,0.0011452529941487427,1.0,0.0,0.9979572263688083,0.0022838934961530943,0.9999991502262521,3.2711448840696423e-06,0.9980320818171742,0.0021990274755448484,population_v,ring-type_p,stalk-root_b,21040,0,40,19540,
Decision Tree (All),50,0.9986952780857858,0.0019294148571696403,0.9986489366015604,0.00199430173390656,0.9985340697635872,0.0035746836656869486,0.9987738138733755,0.0022422095684152404,0.998980043803051,0.0017626183504614746,0.9973968021013957,0.0038446484245931245,odor_n,stalk-root_c,stalk-surface-below-ring_y,21011,29,24,19556,
Naive Bayes (All),50,0.9533731118099358,0.007348632677477551,0.9538825993178865,0.006956009942412934,0.9125523280269217,0.01263179970094952,0.9992336499817318,0.0012774949720242286,0.9944893058686275,0.0025352078158097837,0.9108474470971895,0.01350687948501314,population_v,ring-type_p,stalk-root_b,19161,1879,15,19565,
Random Forest (MW - inCV),50,0.9793201000975529,0.00520166507050774,0.9786154532741936,0.005377768099740838,0.9756893473131372,0.007641871982239284,0.9816119056318179,0.00710184073256503,0.9972781590543006,0.0009893582851423742,0.9586608693650942,0.010394777498021927,bruises_f,gill-size_b,odor_n,20560,480,360,19220,
Random Forest (Wilcoxon - inCV),50,0.9793201000975529,0.00520166507050774,0.9786154532741936,0.005377768099740838,0.9756893473131372,0.007641871982239284,0.9816119056318179,0.00710184073256503,0.9972781590543006,0.0009893582851423742,0.9586608693650942,0.010394777498021927,bruises_f,gill-size_b,odor_n,20560,480,360,19220,
Random Forest (Kruskal - inCV),50,0.9793201000975529,0.00520166507050774,0.9786154532741936,0.005377768099740838,0.9756893473131372,0.007641871982239284,0.9816119056318179,0.00710184073256503,0.9972781590543006,0.0009893582851423683,0.9586608693650942,0.010394777498021927,bruises_f,gill-size_b,odor_n,20560,480,360,19220,
Random Forest (Chi-square - inCV),50,0.9940915177624683,0.002437708415135288,0.993914576433979,0.0024974375875873455,0.9879150128801737,0.004932175261614725,1.0,0.0,0.9999051438049881,5.904299642984117e-05,0.9882541837819662,0.004818469235975224,bruises_f,gill-size_b,gill-size_n,20800,240,0,19580,
Random Forest (KS - inCV),50,0.9793201000975529,0.00520166507050774,0.9786154532741936,0.005377768099740838,0.9756893473131372,0.007641871982239284,0.9816119056318179,0.00710184073256503,0.9981764178525161,0.000632923474158152,0.9586608693650942,0.010394777498021927,bruises_f,gill-size_b,odor_n,20560,480,360,19220,
