Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
1.0,1.0,1.0,1.0,1.0,0.995249406175772,0.9963946386155412,0.9963946386155412,0.9963946386155412,0.9998939599592807,0.9980003878035776,0.9859118231615687,0.9859118231615687,0.9859118231615687,0.9867571137718746,0.9885658538950022,0.9786405060836686,0.9786405060836686,0.9786405060836686,0.9889930437733289,0.9809309709632071,0.9865783605603762,0.9865783605603762,0.9865783605603762,0.9998515439429929,0.9866389548693587,0.9962128556885936,0.9962128556885936,0.9962128556885936,0.9986972223568763,0.9978791991856124,0.9745382713655534,0.9745382713655534,0.9745382713655534,0.9662610887585438,0.9758592273013719,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,1.0
0.9999999999999999,1.0,1.0,1.0,1.0,0.995249406175772,0.9982670027631005,0.9982670027631005,0.9982670027631005,0.9999394056910175,0.9987275195113674,0.9924317708080856,0.9924317708080856,0.9924317708080856,0.981000654418537,0.9930255950361142,0.984536332347666,0.984536332347666,0.984536332347666,0.9957281012167337,0.9798584516942169,0.9942677783702556,0.9942677783702556,0.9942677783702556,0.9999091085365263,0.9942405109312134,0.9980185660962724,0.9980185660962724,0.9980185660962724,0.9989456590237045,0.9985275582917252,0.9870934121867274,0.9870934121867274,0.9870934121867274,0.9737323670560861,0.9866995491783412,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,0.9996970284550876
1.0,1.0,1.0,1.0,0.999951524552814,0.9904988123515439,0.9970369382907557,0.9970369382907557,0.9970369382907557,0.999951524552814,0.998133695283339,0.9908775267826845,0.9908775267826845,0.9908775267826845,0.9911350525958602,0.9924348005235348,0.9819792525086044,0.9819792525086044,0.9819792525086044,0.9943768481264239,0.9881659314557176,0.9905654660914247,0.9905654660914247,0.9905654660914247,0.9999272868292209,0.9906018226768142,0.9968521256483591,0.9968521256483591,0.9968521256483591,0.9989305104464589,0.9979973580881284,0.9847241747055117,0.9847241747055117,0.9847241747055117,0.9828639294197489,0.9866086577148674,1.0,1.0,1.0,0.9904988123515439,1.0,1.0,1.0,1.0,1.0,0.9879477919433807
0.9999999999999999,1.0,1.0,1.0,1.0,0.9940617577197151,0.9975610790634544,0.9975610790634544,0.9975610790634543,0.9999363759755685,0.998400310242862,0.9901806922293858,0.9901806922293858,0.9901806922293858,0.9906593872703475,0.9910744582868777,0.989386906781715,0.989386906781715,0.989386906781715,0.9948828106064278,0.9927892772310823,0.9882053177565563,0.9882053177565563,0.9882053177565563,0.9999272868292209,0.9882507634882931,0.9973005235348296,0.9973005235348296,0.9973005235348296,0.9991910659750836,0.9981730815841776,0.9804128896214067,0.9804128896214067,0.9804128896214067,0.9719508943720006,0.9815126763294391,1.0,1.0,1.0,0.9940617577197151,1.0,0.9999999999999999,1.0,1.0,1.0,0.9959220030054777
1.0,1.0,1.0,1.0,1.0,0.9976190476190476,0.9977708940719144,0.9977708940719144,0.9977708940719144,0.9999665937803692,0.9982537657920311,0.992966472303207,0.992966472303207,0.992966472303207,0.9866071428571428,0.9934220116618075,0.9904701166180758,0.9904701166180758,0.9904701166180758,0.9999605199222545,0.9845389941690963,0.9919005102040815,0.9919005102040815,0.9919005102040815,0.9999665937803693,0.9916939990281827,0.9976888969873663,0.9976888969873663,0.9976888969873663,0.9990585519922255,0.9983630952380952,0.9845055879494655,0.9845055879494655,0.9845055879494655,0.9774143586005831,0.9847515792031097,1.0,1.0,1.0,0.9976190476190476,1.0,1.0,1.0,1.0,1.0,0.9998420796890184
1.0,1.0,1.0,1.0,0.9976858600583091,0.9904761904761904,0.9988398931000972,0.9988398931000972,0.9988398931000972,0.9999149659863946,0.9991769922254616,0.9958637026239067,0.9958637026239067,0.9958637026239067,0.9980928085519922,0.996838556851312,0.9908892128279884,0.9908892128279884,0.9908892128279884,0.9961491739552965,0.9971058066083576,0.9959122934888242,0.9959122934888242,0.9959122934888242,0.999829931972789,0.9956632653061225,0.9987518221574344,0.9987518221574344,0.9987518221574344,0.9995778668610301,0.999198250728863,0.9895468901846453,0.9895468901846453,0.9895468901846453,0.9800413022351797,0.9903030855199223,1.0,1.0,1.0,0.9904761904761904,1.0,1.0,1.0,1.0,1.0,0.9918002915451896
1.0,0.9998420518677367,1.0,1.0,0.9979223745679208,0.9926705991701648,0.9964522419522389,0.9964522419522389,0.9964522419522389,0.9998542017240646,0.9974728298837866,0.9882176768259716,0.9882176768259716,0.9882176768259716,0.9807485526483649,0.9895328987734721,0.9713141892097127,0.9713141892097127,0.9713141892097127,0.9923820400823761,0.9783489560235951,0.9885791350517281,0.9885791350517281,0.9885791350517281,0.9996901786636373,0.9885548353390722,0.9964036425269271,0.9964036425269271,0.9964036425269271,0.9982747204014313,0.9974485301711307,0.9777839877043454,0.9777839877043454,0.9777839877043454,0.9718973823134542,0.9792905698890111,1.0,1.0,1.0,0.9926705991701648,1.0,0.9999999999999999,1.0,1.0,1.0,0.998797164223533
1.0,1.0,1.0,1.0,1.0,0.995249406175772,0.9948849104859335,0.9948849104859335,0.9948849104859335,0.9998542017240646,0.9965372909465345,0.9839257400781236,0.9839257400781236,0.9839257400781236,0.9796368407943575,0.9865987084702723,0.9723347771412603,0.9723347771412603,0.9723347771412603,0.9900857172363937,0.983609843813597,0.9832574979800863,0.9832574979800863,0.9832574979800863,0.9998542017240646,0.9831602991294628,0.9948120113479658,0.9948120113479658,0.9948120113479658,0.9975821785907382,0.9965615906591905,0.9748133478321619,0.9748133478321619,0.9748133478321619,0.9691515147833376,0.9775288407214585,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.995249406175772,0.9990249740296822,0.9990249740296822,0.9990249740296822,0.9999544380387703,0.9993013832611429,0.9952068816786241,0.9952068816786241,0.9952068816786241,0.9906415731633973,0.9960026972681048,0.9876709332912139,0.9876709332912139,0.9876709332912139,0.9915710371724855,0.9918170717631263,0.9957718499978737,0.9957718499978737,0.9957718499978737,0.9998633141163106,0.9957475502852179,0.9988913256100747,0.9988913256100747,0.9988913256100747,0.9993165705815528,0.9991920345541914,0.989772858435949,0.989772858435949,0.989772858435949,0.9866199707188462,0.9901586163743614,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,0.995249406175772
1.0,1.0,1.0,1.0,0.9989551123557964,0.9970354350559805,0.99622443214609,0.99622443214609,0.9962244321460898,0.9998633141163106,0.9973968932817369,0.988333100461087,0.988333100461087,0.988333100461087,0.9882845010357753,0.9899004319273924,0.9872578381760636,0.9872578381760636,0.9872578381760636,0.9959146108097272,0.9823310714350802,0.986443797802091,0.986443797802091,0.986443797802091,0.9998025648346708,0.9864164606253532,0.9961059710468924,0.9961059710468924,0.9961059710468924,0.998821463936189,0.9972905820388673,0.9771613075675379,0.9771613075675379,0.9771613075675379,0.9727934342176404,0.978819762956303,1.0,1.0,1.0,0.9970354350559805,1.0,0.9999999999999999,1.0,1.0,1.0,0.9980256483467083
