,avg_rank
SVM (All),6.42
Integrated-SelectFromModel (RF selector) + KNN,6.42
Integrated-SelectFromModel (L1-LR selector) + LR,6.42
Integrated-SelectFromModel (L1-LR selector) + SVM,6.42
Integrated-SelectFromModel (RF selector) + RF,6.76
Integrated-RFECV (L1-LR) + KNN,6.81
Integrated-SelectFromModel (L1-LR selector) + KNN,6.96
K-Neighbors (All),6.96
Logistic Regression (All),7.08
Integrated-RFECV (L1-LR) + LR,7.12
Integrated-SelectFromModel (RF selector) + LR,7.26
Random Forest (All),7.52
Decision Tree (All),12.88
Random Forest (Chi-square - inCV),13.8
K-Neighbors (Chi-square - inCV),14.67
Decision Tree (Chi-square - inCV),16.55
Random Forest (KS - inCV),18.0
Decision Tree (KS - inCV),18.67
Integrated-RFECV (L1-LR) + Naive Bayes,20.8
Random Forest (Wilcoxon - inCV),21.26
Random Forest (MW - inCV),21.26
Random Forest (Kruskal - inCV),21.35
Decision Tree (Kruskal - inCV),24.29
Decision Tree (MW - inCV),24.29
Decision Tree (Wilcoxon - inCV),24.29
SVM (Chi-square - inCV),24.5
Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,27.17
Naive Bayes (All),27.17
Logistic Regression (KS - inCV),28.7
Logistic Regression (Kruskal - inCV),32.5
Logistic Regression (MW - inCV),32.59
Logistic Regression (Wilcoxon - inCV),32.59
K-Neighbors (Kruskal - inCV),33.06
K-Neighbors (Wilcoxon - inCV),33.16
K-Neighbors (MW - inCV),33.16
K-Neighbors (KS - inCV),33.52
Logistic Regression (Chi-square - inCV),35.46
SVM (KS - inCV),37.84
Naive Bayes (KS - inCV),40.56
SVM (Wilcoxon - inCV),40.88
SVM (MW - inCV),40.88
SVM (Kruskal - inCV),40.88
Naive Bayes (MW - inCV),42.2
Naive Bayes (Wilcoxon - inCV),42.2
Naive Bayes (Kruskal - inCV),42.2
Naive Bayes (Chi-square - inCV),45.52
