Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
1.0,1.0,0.9987228607918263,0.9987228607918263,1.0,0.9584352078239609,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.9911504424778761,0.9744897959183674,0.9731800766283525,0.9731800766283525,0.9731800766283525,0.9682337992376112,0.9731800766283525,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.9911504424778761,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.9898734177215189,0.9738219895287958,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.9744897959183674,0.8895104895104895,0.8895104895104895,0.8895104895104895,0.9148099606815203,0.8895104895104895,1.0,0.9987228607918263,0.9987228607918263,0.9584352078239609,1.0,1.0,0.9987228607918263,1.0,1.0,0.9987228607918263
1.0,1.0,0.9987228607918263,1.0,1.0,0.9468599033816425,0.9773299748110831,0.9773299748110831,0.9773299748110831,0.9936628643852978,0.9773299748110831,0.9760403530895334,0.9760403530895334,0.9760403530895334,0.9626865671641791,0.9760403530895334,0.9773299748110831,0.9773299748110831,0.9773299748110831,0.9936628643852978,0.9773299748110831,0.9760403530895334,0.9760403530895334,0.9760403530895334,0.9923857868020305,0.9831387808041504,0.9760403530895334,0.9760403530895334,0.9760403530895334,0.9760403530895334,0.9760403530895334,0.9159891598915989,0.9159891598915989,0.9159891598915989,0.9302915082382763,0.9159891598915989,1.0,0.9987228607918263,1.0,0.9468599033816425,1.0,1.0,1.0,1.0,1.0,0.9870801033591732
1.0,0.9987228607918263,0.9974424552429667,0.9987228607918263,0.9987228607918263,0.9468599033816425,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9949238578680203,0.9808917197452229,0.9782886334610472,0.9782886334610472,0.9782886334610472,0.9745547073791349,0.9782886334610472,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9949238578680203,0.9795918367346939,0.9738219895287958,0.9738219895287958,0.9738219895287958,0.9922879177377892,0.979381443298969,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9131034482758621,0.9131034482758621,0.9131034482758621,0.93717277486911,0.9131034482758621,1.0,0.9974424552429667,0.9987228607918263,0.9468599033816425,1.0,1.0,0.9987228607918263,1.0,0.9987228607918263,0.9896907216494846
1.0,1.0,1.0,1.0,1.0,0.9679012345679012,0.982051282051282,0.982051282051282,0.982051282051282,0.9961880559085133,0.982051282051282,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9683143219264893,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9961880559085133,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9896907216494846,0.9819587628865979,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9807445442875481,0.9186991869918699,0.9186991869918699,0.9186991869918699,0.9383033419023136,0.9186991869918699,1.0,1.0,1.0,0.9679012345679012,1.0,1.0,1.0,1.0,1.0,0.993581514762516
1.0,1.0,1.0,1.0,1.0,0.9560975609756097,0.9834394904458599,0.9834394904458599,0.9834394904458599,0.9987261146496815,0.9834394904458599,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9783989834815756,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9987261146496815,0.9821428571428571,0.9724770642201835,0.9724770642201835,0.9724770642201835,0.9844559585492227,0.9689119170984456,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9108367626886146,0.9108367626886146,0.9108367626886146,0.9186351706036745,0.9108367626886146,1.0,1.0,1.0,0.9560975609756097,1.0,1.0,1.0,1.0,1.0,0.9961587708066582
1.0,1.0,1.0,0.9987228607918263,0.9974554707379135,0.9468599033816425,0.9910828025477707,0.9910828025477707,0.9910828025477707,0.9949238578680203,0.9910828025477707,0.9885057471264368,0.9885057471264368,0.9885057471264368,0.979746835443038,0.9885057471264368,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9949238578680203,0.9897959183673469,0.9738219895287958,0.9738219895287958,0.9738219895287958,0.9883870967741936,0.9738219895287958,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9897959183673469,0.9214092140921409,0.9214092140921409,0.9214092140921409,0.9381443298969072,0.9214092140921409,1.0,1.0,0.9987228607918263,0.9468599033816425,1.0,1.0,0.9987228607918263,1.0,0.9987228607918263,0.9896907216494846
1.0,0.9974358974358974,0.9974358974358974,0.9961489088575096,0.9974358974358974,0.9534313725490197,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.9923857868020305,0.9720812182741116,0.9681528662420382,0.9681528662420382,0.9681528662420382,0.9669211195928753,0.9681528662420382,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.9923857868020305,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.9857328145265889,0.9661458333333334,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.9720812182741116,0.8904494382022472,0.8904494382022472,0.8904494382022472,0.9141347424042272,0.8904494382022472,1.0,0.9974358974358974,0.9961489088575096,0.9534313725490197,1.0,1.0,0.9961489088575096,0.9961489088575096,0.9961489088575096,0.9857328145265889
1.0,1.0,1.0,1.0,1.0,0.9571603427172583,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9898734177215189,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9607097591888466,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9898734177215189,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9922680412371134,0.9609375,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9643765903307888,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.924901185770751,0.9027777777777778,1.0,1.0,1.0,0.9571603427172583,1.0,1.0,1.0,1.0,1.0,0.9961783439490446
1.0,1.0,1.0,0.998719590268886,1.0,0.9513381995133819,0.9847715736040609,0.9847715736040609,0.9847715736040609,0.9936467598475223,0.9847715736040609,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9808917197452229,0.9821882951653944,0.9821882951653944,0.9821882951653944,0.9936467598475223,0.9821882951653944,0.9821882951653944,0.9821882951653944,0.9821882951653944,0.9897959183673469,0.9820051413881749,0.9821882951653944,0.9821882951653944,0.9821882951653944,0.9821882951653944,0.9821882951653944,0.9364005412719891,0.9364005412719891,0.9364005412719891,0.9526248399487837,0.9364005412719891,1.0,1.0,0.998719590268886,0.9513381995133819,1.0,1.0,0.998719590268886,1.0,0.998719590268886,0.9513381995133819
1.0,0.998719590268886,0.998719590268886,0.998719590268886,0.998719590268886,0.9582309582309583,0.9756722151088348,0.9756722151088348,0.9756722151088348,0.9936467598475223,0.9756722151088348,0.9730423620025674,0.9730423620025674,0.9730423620025674,0.9668367346938775,0.9730423620025674,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9936467598475223,0.9743589743589743,0.9628647214854111,0.9628647214854111,0.9628647214854111,0.9910828025477707,0.9628647214854111,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9743589743589743,0.9030470914127424,0.9030470914127424,0.9030470914127424,0.9216710182767625,0.9030470914127424,1.0,0.998719590268886,0.998719590268886,0.9582309582309583,1.0,1.0,0.998719590268886,0.998719590268886,0.998719590268886,0.9883570504527813
