Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),44.0,0.9119780165048018,0.0,0.0,1.0
Random Forest (All),SVM (All),0.0,0.002699796063260186,0.0,0.0,0.4454663504379307
Random Forest (All),K-Neighbors (All),28.0,0.6473912151716837,0.0,0.0,1.0
Random Forest (All),Decision Tree (All),21.0,1.3353227628057094e-05,0.0,0.0,0.0029243568505445037
Random Forest (All),Naive Bayes (All),1.0,7.973345043770185e-10,6.145457321635711,0.8690989091242258,2.503630343743838e-07
Random Forest (All),Random Forest (MW - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Random Forest (Wilcoxon - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Random Forest (Kruskal - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Random Forest (Chi-square - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Random Forest (KS - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (MW - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (Wilcoxon - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (Kruskal - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (Chi-square - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),Logistic Regression (KS - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (MW - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (Wilcoxon - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (Kruskal - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (Chi-square - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),SVM (KS - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),K-Neighbors (MW - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),K-Neighbors (Wilcoxon - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),K-Neighbors (Kruskal - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),K-Neighbors (Chi-square - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
Random Forest (All),K-Neighbors (KS - inCV),0.0,1.7763568394002505e-15,7.956038125481531,1.1251537019813398,1.8385293287792592e-12
