Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),0.0,0.00023316482982168666,0.0,0.0,0.04826511977308914
Random Forest (All),SVM (All),0.0,6.625675867051037e-06,4.505372030316635,0.6371558228810192,0.002014205463583515
Random Forest (All),K-Neighbors (All),0.0,7.126858532429746e-06,4.489864229405455,0.634962688643902,0.0021095501255992046
Random Forest (All),Decision Tree (All),0.0,1.6809335993817215e-05,0.0,0.0,0.004706614078268821
Random Forest (All),Naive Bayes (All),0.0,7.497335219107156e-10,6.1552199870208435,0.8704795585034822,7.000736003680781e-07
Random Forest (All),Random Forest (MW - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),Random Forest (Wilcoxon - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),Random Forest (Kruskal - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,7.000736003680781e-07
Random Forest (All),Random Forest (Chi-square - inCV),0.0,7.551804758280675e-10,6.154072681942175,0.870317305063239,7.000736003680781e-07
Random Forest (All),Random Forest (KS - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),Logistic Regression (MW - inCV),0.0,7.485467152741082e-10,6.155471045553977,0.8705150635417329,7.000736003680781e-07
Random Forest (All),Logistic Regression (Wilcoxon - inCV),0.0,7.485467152741082e-10,6.155471045553977,0.8705150635417329,7.000736003680781e-07
Random Forest (All),Logistic Regression (Kruskal - inCV),0.0,7.519420763211106e-10,6.154753816947842,0.8704136320995212,7.000736003680781e-07
Random Forest (All),Logistic Regression (Chi-square - inCV),0.0,7.551804758280675e-10,6.154072681942175,0.870317305063239,7.000736003680781e-07
Random Forest (All),Logistic Regression (KS - inCV),0.0,7.485467152741082e-10,6.155471045553977,0.8705150635417329,7.000736003680781e-07
Random Forest (All),SVM (MW - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),SVM (Wilcoxon - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),SVM (Kruskal - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,7.000736003680781e-07
Random Forest (All),SVM (Chi-square - inCV),0.0,7.551804758280675e-10,6.154072681942175,0.870317305063239,7.000736003680781e-07
Random Forest (All),SVM (KS - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),K-Neighbors (MW - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),K-Neighbors (Wilcoxon - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),K-Neighbors (Kruskal - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,7.000736003680781e-07
Random Forest (All),K-Neighbors (Chi-square - inCV),0.0,7.555220876380673e-10,6.154000996674732,0.870307167235495,7.000736003680781e-07
Random Forest (All),K-Neighbors (KS - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),Decision Tree (MW - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
Random Forest (All),Decision Tree (Wilcoxon - inCV),0.0,7.463471219275886e-10,6.155937378630158,0.8705810129978248,7.000736003680781e-07
