Model_A,Model_B,W,p_value,z,r_effect,p_adj
Random Forest (All),Logistic Regression (All),0.0,0.00023316482982168666,0.0,0.0,0.03777270243111324
Random Forest (All),SVM (All),0.0,6.625675867051037e-06,4.505372030316635,0.6371558228810192,0.0015371568011558405
Random Forest (All),K-Neighbors (All),0.0,7.126858532429746e-06,4.489864229405455,0.634962688643902,0.0015821625941994035
Random Forest (All),Decision Tree (All),0.0,1.6809335993817215e-05,0.0,0.0,0.003126536494850002
Random Forest (All),Naive Bayes (All),0.0,7.497335219107156e-10,6.1552199870208435,0.8704795585034822,5.634169621387914e-07
Random Forest (All),Random Forest (MW - inCV),0.0,7.529633786524503e-10,6.154538697250098,0.8703832095801128,5.634169621387914e-07
Random Forest (All),Random Forest (Wilcoxon - inCV),0.0,7.529633786524503e-10,6.154538697250098,0.8703832095801128,5.634169621387914e-07
Random Forest (All),Random Forest (Kruskal - inCV),0.0,7.529633786524503e-10,6.154538697250098,0.8703832095801128,5.634169621387914e-07
Random Forest (All),Random Forest (Chi-square - inCV),0.0,7.138802348820812e-10,6.162981116492717,0.871577147959328,5.439767389801459e-07
Random Forest (All),Random Forest (KS - inCV),0.0,7.529633786524503e-10,6.154538697250098,0.8703832095801128,5.634169621387914e-07
Random Forest (All),Logistic Regression (MW - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Logistic Regression (Wilcoxon - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Logistic Regression (Kruskal - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Logistic Regression (Chi-square - inCV),0.0,7.550097219539461e-10,6.154108525515318,0.8703223741099654,5.634169621387914e-07
Random Forest (All),Logistic Regression (KS - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),SVM (MW - inCV),0.0,7.536449388836203e-10,6.154395296649003,0.8703629296726207,5.634169621387914e-07
Random Forest (All),SVM (Wilcoxon - inCV),0.0,7.536449388836203e-10,6.154395296649003,0.8703629296726207,5.634169621387914e-07
Random Forest (All),SVM (Kruskal - inCV),0.0,7.536449388836203e-10,6.154395296649003,0.8703629296726207,5.634169621387914e-07
Random Forest (All),SVM (Chi-square - inCV),0.0,7.138802348820812e-10,6.162981116492717,0.871577147959328,5.439767389801459e-07
Random Forest (All),SVM (KS - inCV),0.0,7.536449388836203e-10,6.154395296649003,0.8703629296726207,5.634169621387914e-07
Random Forest (All),K-Neighbors (MW - inCV),0.0,7.536449388836203e-10,6.154395296649003,0.8703629296726207,5.634169621387914e-07
Random Forest (All),K-Neighbors (Wilcoxon - inCV),0.0,7.536449388836203e-10,6.154395296649003,0.8703629296726207,5.634169621387914e-07
Random Forest (All),K-Neighbors (Kruskal - inCV),0.0,7.534744968972034e-10,6.1544311458595535,0.8703679995165968,5.634169621387914e-07
Random Forest (All),K-Neighbors (Chi-square - inCV),0.0,7.514318919004358e-10,6.154861385256025,0.8704288445555525,5.634169621387914e-07
Random Forest (All),K-Neighbors (KS - inCV),0.0,7.539859267508617e-10,6.1543236001072374,0.8703527902504468,5.634169621387914e-07
Random Forest (All),Decision Tree (MW - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,5.634169621387914e-07
Random Forest (All),Decision Tree (Wilcoxon - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,5.634169621387914e-07
Random Forest (All),Decision Tree (Kruskal - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,5.634169621387914e-07
Random Forest (All),Decision Tree (Chi-square - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,5.634169621387914e-07
Random Forest (All),Decision Tree (KS - inCV),0.0,7.541564726440781e-10,6.1542877527759865,0.8703477206722438,5.634169621387914e-07
Random Forest (All),Naive Bayes (MW - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Naive Bayes (Wilcoxon - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Naive Bayes (Kruskal - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Naive Bayes (Chi-square - inCV),0.0,7.551804758280675e-10,6.154072681942175,0.870317305063239,5.634169621387914e-07
Random Forest (All),Naive Bayes (KS - inCV),0.0,7.548390027588035e-10,6.154144369714769,0.8703274432452648,5.634169621387914e-07
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + LR,0.0,,inf,inf,
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + SVM,0.0,6.625675867051037e-06,4.505372030316635,0.6371558228810192,0.0015371568011558405
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + KNN,0.0,7.126858532429746e-06,4.489864229405455,0.634962688643902,0.0015821625941994035
Random Forest (All),Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,0.0,7.497335219107156e-10,6.1552199870208435,0.8704795585034822,5.634169621387914e-07
Random Forest (All),Integrated-SelectFromModel (RF selector) + RF,0.0,,inf,inf,
Random Forest (All),Integrated-SelectFromModel (RF selector) + LR,0.0,,inf,inf,
