Classifier,CV_Folds,Accuracy_Mean,Accuracy_Std,F1_Mean,F1_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,AUC_ROC_Mean,AUC_ROC_Std,MCC_Mean,MCC_Std,Top_Feature_1,Top_Feature_2,Top_Feature_3,True_Negative,False_Positive,False_Negative,True_Positive,Selected_Features_Count
Random Forest (All),50,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.710277376051325e-17,1.0,0.0,odor_n,odor_f,gill-size_n,21040,0,0,19580,
Logistic Regression (All),50,0.9995076012336477,0.000738502407872203,0.9994883593069364,0.0007676147190337501,1.0,0.0,0.998978417453938,0.0015322233450027858,0.9999963562828829,2.2170932495714783e-05,0.9990153837994711,0.001476345202500571,odor_n,odor_l,odor_a,21040,0,20,19560,
SVM (All),50,0.9991382945849163,0.0009613261775419906,0.9991041703060524,0.0009999426016452317,1.0,0.0,0.9982119369486925,0.0019946522984243737,1.0,0.0,0.998277418397962,0.0019206776674559496,population_v,ring-type_p,stalk-root_b,21040,0,35,19545,
K-Neighbors (All),50,0.9990152933549041,0.001100922317331845,0.998976259732411,0.0011452529941487427,1.0,0.0,0.9979572263688083,0.0022838934961530943,0.9999991502262521,3.2711448840696423e-06,0.9980320818171742,0.0021990274755448484,population_v,ring-type_p,stalk-root_b,21040,0,40,19540,
Decision Tree (All),50,0.9986952780857858,0.0019294148571696403,0.9986489366015604,0.00199430173390656,0.9985340697635872,0.0035746836656869486,0.9987738138733755,0.0022422095684152404,0.998980043803051,0.0017626183504614746,0.9973968021013957,0.0038446484245931245,odor_n,stalk-root_c,stalk-surface-below-ring_y,21011,29,24,19556,
Naive Bayes (All),50,0.9533731118099358,0.007348632677477551,0.9538825993178865,0.006956009942412934,0.9125523280269217,0.01263179970094952,0.9992336499817318,0.0012774949720242286,0.9944893058686275,0.0025352078158097837,0.9108474470971895,0.01350687948501314,population_v,ring-type_p,stalk-root_b,19161,1879,15,19565,
Random Forest (MW - inCV),50,0.9340224431800968,0.007406502564150235,0.9264604599976086,0.008878506656466126,1.0,0.0,0.8631233362910382,0.015382883897216622,0.9783796672063584,0.0035366191389442415,0.875055258547594,0.013331394325764273,odor_f,odor_n,ring-type_p,21040,0,2680,16900,
Random Forest (Wilcoxon - inCV),50,0.9340224431800968,0.007406502564150235,0.9264604599976086,0.008878506656466126,1.0,0.0,0.8631233362910382,0.015382883897216622,0.9783796672063584,0.0035366191389442415,0.875055258547594,0.013331394325764273,odor_f,odor_n,ring-type_p,21040,0,2680,16900,
Random Forest (Kruskal - inCV),50,0.9506161876889706,0.023625693946031937,0.9456022335221825,0.027465839389760858,0.9886737485804101,0.01380341533516412,0.9089315726290514,0.06135956011067215,0.983121036130036,0.006651674749114883,0.9055699177801378,0.04329724183194854,odor_f,odor_n,stalk-surface-above-ring_k,20817,223,1783,17797,
Random Forest (Chi-square - inCV),50,0.9418998842697788,0.008095255423398817,0.9374461093305213,0.009061380220248716,0.9736669676932759,0.008217812753202259,0.9039822015762827,0.01537488925606209,0.9796499137796337,0.004740258571450631,0.8855990828119278,0.01572697135582192,odor_n,stalk-surface-below-ring_k,stalk-surface-above-ring_k,20560,480,1880,17700,
Random Forest (KS - inCV),50,0.9340224431800968,0.007406502564150235,0.9264604599976086,0.008878506656466126,1.0,0.0,0.8631233362910382,0.015382883897216622,0.9783796672063584,0.0035366191389442415,0.875055258547594,0.013331394325764273,odor_f,odor_n,ring-type_p,21040,0,2680,16900,
