Random Forest (All),Logistic Regression (All),SVM (All),K-Neighbors (All),Decision Tree (All),Naive Bayes (All),Random Forest (MW - inCV),Random Forest (Wilcoxon - inCV),Random Forest (Kruskal - inCV),Random Forest (Chi-square - inCV),Random Forest (KS - inCV),Logistic Regression (MW - inCV),Logistic Regression (Wilcoxon - inCV),Logistic Regression (Kruskal - inCV),Logistic Regression (Chi-square - inCV),Logistic Regression (KS - inCV),SVM (MW - inCV),SVM (Wilcoxon - inCV),SVM (Kruskal - inCV),SVM (Chi-square - inCV),SVM (KS - inCV),K-Neighbors (MW - inCV),K-Neighbors (Wilcoxon - inCV),K-Neighbors (Kruskal - inCV),K-Neighbors (Chi-square - inCV),K-Neighbors (KS - inCV),Decision Tree (MW - inCV),Decision Tree (Wilcoxon - inCV),Decision Tree (Kruskal - inCV),Decision Tree (Chi-square - inCV),Decision Tree (KS - inCV),Naive Bayes (MW - inCV),Naive Bayes (Wilcoxon - inCV),Naive Bayes (Kruskal - inCV),Naive Bayes (Chi-square - inCV),Naive Bayes (KS - inCV),Integrated-SelectFromModel (L1-LR selector) + LR,Integrated-SelectFromModel (L1-LR selector) + SVM,Integrated-SelectFromModel (L1-LR selector) + KNN,Integrated-SelectFromModel (L1-LR selector) + Naive Bayes,Integrated-SelectFromModel (RF selector) + RF,Integrated-SelectFromModel (RF selector) + LR,Integrated-SelectFromModel (RF selector) + KNN,Integrated-RFECV (L1-LR) + LR,Integrated-RFECV (L1-LR) + KNN,Integrated-RFECV (L1-LR) + Naive Bayes
1.0,1.0,1.0,1.0,1.0,0.995249406175772,0.9724326191284115,0.9724326191284115,0.9724326191284115,0.9758349895777789,0.9724326191284115,0.9639675941635562,0.9639675941635562,0.9639675941635562,0.9687333365650298,0.9639675941635562,0.9193338261670464,0.9193338261670464,0.9193338261670464,0.9637221872121771,0.9193338261670464,0.968200106645984,0.968200106645984,0.968200106645984,0.9420930486208736,0.968200106645984,0.9724326191284115,0.9724326191284115,0.9724326191284115,0.9758349895777789,0.9724326191284115,0.9593866644044793,0.9593866644044793,0.9593866644044793,0.9620497842842601,0.9593866644044793,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,1.0
0.9999999999999999,1.0,1.0,1.0,1.0,0.995249406175772,0.983327475883465,0.983327475883465,0.9921378884095207,0.9798796597023608,0.983327475883465,0.9810673081584178,0.9810673081584178,0.9890960540985991,0.9773346987250958,0.9810673081584178,0.9478313296815164,0.9478313296815164,0.9832426438508897,0.9775891948228224,0.9478313296815164,0.9821701245818992,0.9821701245818992,0.9901443356439964,0.9473344563478598,0.9821701245818992,0.983327475883465,0.983327475883465,0.9921378884095207,0.9798796597023608,0.983327475883465,0.9781042464491735,0.9781042464491735,0.9861269329584567,0.9773346987250958,0.9781042464491735,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,0.9996970284550876
1.0,1.0,1.0,1.0,0.999951524552814,0.9904988123515439,0.977555867952882,0.977555867952882,0.9905897038150178,0.9809612681176985,0.977555867952882,0.9731991371370401,0.9731991371370401,0.9865117068204954,0.97964031218188,0.9731991371370401,0.9446652770371806,0.9446652770371806,0.9870267584468467,0.9730234136409909,0.9446652770371806,0.975353264821368,0.975353264821368,0.9866783411701973,0.9615710892432984,0.975353264821368,0.977555867952882,0.977555867952882,0.9905897038150178,0.9809612681176985,0.977555867952882,0.9709026128266033,0.9709026128266033,0.9844939163313782,0.9795070047021185,0.9709026128266033,1.0,1.0,1.0,0.9904988123515439,1.0,1.0,1.0,1.0,1.0,0.9879477919433807
0.9999999999999999,1.0,1.0,1.0,1.0,0.9940617577197151,0.9795160938484658,0.9795160938484658,0.9893990256435116,0.9748806292113045,0.9795160938484658,0.9729355518929662,0.9729355518929662,0.9838546463716127,0.971717606282418,0.9729355518929662,0.9081420572979786,0.9081420572979786,0.9769590140094042,0.9633434727810364,0.9081420572979786,0.976201585147123,0.976201585147123,0.9860784575112705,0.9380514082117407,0.976201585147123,0.9795160938484658,0.9795160938484658,0.9893990256435116,0.9748806292113045,0.9795160938484658,0.9673790537592708,0.9673790537592708,0.9801341558000872,0.9714934073391828,0.9673790537592708,1.0,1.0,1.0,0.9940617577197151,1.0,0.9999999999999999,1.0,1.0,1.0,0.9959220030054777
1.0,1.0,1.0,1.0,1.0,0.9976190476190476,0.9808157191448007,0.9808157191448007,0.9808157191448007,0.9852071185617103,0.9808157191448007,0.9774204324586978,0.9774204324586978,0.9774204324586978,0.9806274295432459,0.9774204324586978,0.9787627551020409,0.9787627551020409,0.9787627551020409,0.9620657191448008,0.9787627551020409,0.9790998542274052,0.9790998542274052,0.9790998542274052,0.9562074829931972,0.9790998542274052,0.9808157191448007,0.9808157191448007,0.9808157191448007,0.9852071185617103,0.9808157191448007,0.9717717444120505,0.9717717444120505,0.9717717444120505,0.9746507531584063,0.9717717444120505,1.0,1.0,1.0,0.9976190476190476,1.0,1.0,1.0,1.0,1.0,0.9998420796890184
1.0,1.0,1.0,1.0,0.9976858600583091,0.9904761904761904,0.9837585034013605,0.9837585034013605,0.9957574101068999,0.9874665937803693,0.9837585034013605,0.9820274538386783,0.9820274538386783,0.9939777696793002,0.9856565840621963,0.9820274538386783,0.9554968415937805,0.9554968415937805,0.9941721331389698,0.9821701895043732,0.9554968415937805,0.9828656462585034,0.9828656462585034,0.9927599611273081,0.9616861030126336,0.9828656462585034,0.9837585034013605,0.9837585034013605,0.9957574101068999,0.9874665937803693,0.9837585034013605,0.9767006802721089,0.9767006802721089,0.989373785228377,0.9853407434402331,0.9767006802721089,1.0,1.0,1.0,0.9904761904761904,1.0,1.0,1.0,1.0,1.0,0.9918002915451896
1.0,0.9998420518677367,1.0,1.0,0.9979223745679208,0.9926705991701648,0.9748740971138016,0.9748740971138016,0.9748740971138016,0.9759554343269892,0.9748740971138016,0.965719180370692,0.965719180370692,0.965719180370692,0.9692244139213053,0.965719180370692,0.965719180370692,0.965719180370692,0.965719180370692,0.9511515026334815,0.965719180370692,0.9702966387422469,0.9702966387422469,0.9702966387422469,0.9329176057493119,0.9702966387422469,0.9748740971138016,0.9748740971138016,0.9748740971138016,0.9759554343269892,0.9748740971138016,0.9610900851097435,0.9610900851097435,0.9610900851097435,0.9639210016341557,0.9610900851097435,1.0,1.0,1.0,0.9926705991701648,1.0,0.9999999999999999,1.0,1.0,1.0,0.998797164223533
1.0,1.0,1.0,1.0,1.0,0.995249406175772,0.9740114573145172,0.9740114573145172,0.9740114573145172,0.9765993767123704,0.9740114573145172,0.9657009555862001,0.9657009555862001,0.9657009555862001,0.9684103735473327,0.9657009555862001,0.9397245627570454,0.9397245627570454,0.9397245627570454,0.9456658425014124,0.9397245627570454,0.9698562064503587,0.9698562064503587,0.9698562064503587,0.955288528713148,0.9698562064503587,0.9740114573145172,0.9740114573145172,0.9740114573145172,0.9765993767123704,0.9740114573145172,0.9614971052967298,0.9614971052967298,0.9614971052967298,0.96670939366142,0.9614971052967298,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.995249406175772,0.9825102818159177,0.9825102818159177,0.9825102818159177,0.985016189683557,0.9825102818159177,0.9815990425913215,0.9815990425913215,0.9815990425913215,0.9825376189926553,0.9815990425913215,0.9535085747611035,0.9535085747611035,0.9535085747611035,0.964057687517845,0.9535085747611035,0.9819939129219797,0.9819939129219797,0.9819939129219797,0.9493836985377648,0.9819939129219797,0.9825102818159177,0.9825102818159177,0.9825102818159177,0.985016189683557,0.9825102818159177,0.9770671461809963,0.9770671461809963,0.9770671461809963,0.9747738607990961,0.9770671461809963,1.0,1.0,1.0,0.995249406175772,1.0,1.0,1.0,1.0,1.0,0.995249406175772
1.0,1.0,1.0,1.0,0.9989551123557964,0.9970354350559805,0.9745703507056028,0.9745703507056028,0.986926754591127,0.9746159126668328,0.9745703507056028,0.9683435493375291,0.9683435493375291,0.9814836189562058,0.9711957281105151,0.9683435493375291,0.942901750186804,0.942901750186804,0.9757063622722661,0.9611538718554653,0.942901750186804,0.971441762701156,0.971441762701156,0.9824677573187697,0.945541306474051,0.971441762701156,0.9745703507056028,0.9745703507056028,0.986926754591127,0.9746159126668328,0.9745703507056028,0.962633116863393,0.962633116863393,0.9761802066690561,0.9711106791162194,0.962633116863393,1.0,1.0,1.0,0.9970354350559805,1.0,0.9999999999999999,1.0,1.0,1.0,0.9980256483467083
